slug,company,program,category,status,verification_level,benefit_type,benefit_summary,amount_is_published,amount_max,currency,duration_months,partner_gate,funding_required,accelerator_required,open_to_bootstrapped,requires_vc_backing,funding_min_usd,funding_max_usd,company_age_max_years,application_mechanism,requires_sales_call,regions,excluded_regions,regions_basis,apply_url,official_source,last_verified,verified_by
1password-startups,1Password,No startup program published,security,no-program,verified,discount,"1Password publishes no startup-specific credits or discount program. Its business pricing FAQ enumerates the discount categories it does offer, and startups are not among them.",False,,,,,,,,,,,,,,,,unstated,https://1password.com/pricing/business,https://1password.com/pricing/business,2026-09-16,tayyabakmal1
airtable-for-startups,Airtable,Airtable for Startups,productivity,unverified,needs-manual-verification,credit,"Airtable runs an application-gated startup program, but publishes no benefit amount, duration, eligibility criteria or terms on any reachable page — the application form body is JS-rendered.",False,,,,,,,,,,,,self-serve-form,,,,unstated,https://www.airtable.com/startups,https://www.airtable.com/startups,2026-09-16,tayyabakmal1
airwallex-for-startups,Airwallex,Airwallex for Startups,finance,active-self-serve,verified,usage-allowance,"Australia/New Zealand program tiered by funding stage. Pre-seed gets the Explore tier free for 3 months; Seed gets the Grow tier free for 3 months plus AUD$100,000 of fee-free payment collection and AUD$100,000 of fee-free FX; Series A+ is sales-handled.",False,,,3,none,,,,,,,,self-serve-form,False,AU;NZ,,asserted,https://www.airwallex.com/au/startups,https://www.airwallex.com/au/startups,2026-09-14,tayyabakmal1
akamai-cloud-rise-start-up-program,Akamai (Linode),Akamai Cloud Rise Start-Up Program,cloud,active-self-serve,verified,credit,"Up to $120,000 in Akamai Cloud credits in year one of a three-year program, with discounts rather than credits in years two and three.",True,120000,USD,12,none,,,,,,,7,self-serve-form,,,,unstated,https://www.akamai.com/cloud/start-ups/rise,https://www.akamai.com/cloud/start-ups/rise,2026-09-14,tayyabakmal1
algolia-startup-program,Algolia,Algolia Startup Program,devtools,active-self-serve,verified,credit,"$10,000 in Algolia credit usable within the first 12 months after approval, for new or free-tier accounts only; unused credit lapses and accounts move to pay-as-you-go once the credit is spent.",True,10000,USD,12,none,,,,,,5000000,3,self-serve-form,,,,unstated,https://support.algolia.com/hc/en-us/requests/new?ticket_form_id=5005635939217,https://www.algolia.com/policies/startup-program-terms,2026-09-14,tayyabakmal1
alibaba-cloud-ai-catalyst-program,Alibaba Cloud,Alibaba Cloud AI Catalyst Program,cloud,active-self-serve,verified,credit,"Up to $120k in Alibaba Cloud credits plus up to 2B free Model Studio tokens, POC coupons, 1:1 office hours with AI experts and 12 months of Alibaba Cloud Academy access.",True,120000,USD,,none,,,,,,,10,self-serve-form,,,,unstated,https://survey.alibabacloud.com/uone/sg/survey/Ki6nZZ5hr,https://www.alibabacloud.com/en/startup/ai,2026-09-14,tayyabakmal1
amplitude-startup-plan,Amplitude,Startup Plan,analytics,active-self-serve,verified,free-plan,"Year one is the full Growth plan at 100% off, stated as a $60,000 value, with up to 100M events per month (~200k MTU) and unlimited teammates. Year two is 40% off the annual Plus plan.",True,60000,USD,12,improves-offer,,,,,,10000000,,in-product,,,,unstated,https://amplitude.com/startups,https://amplitude.com/startups,2026-09-14,tayyabakmal1
anthropic-claude-for-startups,Anthropic,Claude for Startups,ai,active-amount-undisclosed,verified,credit,Application-based program offering Claude API credits plus upgraded API rate limits. No credit figure is published. Credits are usable only on the first-party Claude API via Claude Console.,False,,,,improves-offer,False,,True,False,,,4,self-serve-form,,,,unstated,https://claude.com/form/startups-application,https://claude.com/programs/startups,2026-09-16,tayyabakmal1
apollo-for-startups,Apollo.io,Apollo for Startups,crm,active-self-serve,verified,discount,"50% off Apollo's Basic or Professional plan for 12 months, up to 5 seats, plus full B2B database access and 1:1 support.",False,,,12,required-soft,,,,,,,,self-serve-form,False,,,unstated,https://www.apollo.io/startups,https://www.apollo.io/startups,2026-09-16,tayyabakmal1
asana-for-startups,Asana,Asana for Startups Discount Program,productivity,active-partner-only,verified,discount,A partner-issued discount code applied to a Starter or Advanced annual plan for the first 12 months of the subscription. No discount percentage or amount is published.,False,,,12,required-hard,,,,,,,,partner-code,,,,unstated,https://asana.com/startups,https://asana.com/startups,2026-09-14,tayyabakmal1
